{'realrec_fileid_25.wav': '3.415060520172119'}
{'realrec_fileid_250.wav': '4.085295677185059'}
{'realrec_fileid_251.wav': '3.2133302688598633'}
{'realrec_fileid_252.wav': '3.6281304359436035'}
{'realrec_fileid_253.wav': '4.121491432189941'}
{'realrec_fileid_254.wav': '3.486527919769287'}
{'realrec_fileid_255.wav': '3.922696352005005'}
{'realrec_fileid_256.wav': '3.988555908203125'}
{'realrec_fileid_257.wav': '3.5589160919189453'}
{'realrec_fileid_258.wav': '3.452423572540283'}
{'realrec_fileid_259.wav': '4.1656694412231445'}
{'realrec_fileid_26.wav': '3.7243692874908447'}
{'realrec_fileid_260.wav': '4.104073524475098'}
{'realrec_fileid_261.wav': '3.734234571456909'}
{'realrec_fileid_262.wav': '4.055631637573242'}
{'realrec_fileid_263.wav': '3.8671693801879883'}
{'realrec_fileid_264.wav': '3.1876602172851562'}
{'realrec_fileid_265.wav': '3.2211616039276123'}
{'realrec_fileid_266.wav': '3.9601194858551025'}
{'realrec_fileid_267.wav': '4.2056403160095215'}
{'realrec_fileid_268.wav': '4.2586669921875'}
{'realrec_fileid_269.wav': '4.118725299835205'}
{'realrec_fileid_27.wav': '3.8670153617858887'}
{'realrec_fileid_270.wav': '3.682713508605957'}
{'realrec_fileid_271.wav': '4.026900768280029'}
{'realrec_fileid_272.wav': '3.7389636039733887'}
{'realrec_fileid_273.wav': '3.728825092315674'}
{'realrec_fileid_274.wav': '2.6477653980255127'}
{'realrec_fileid_275.wav': '2.501211404800415'}
{'realrec_fileid_276.wav': '3.4914402961730957'}
{'realrec_fileid_277.wav': '3.10135555267334'}
{'realrec_fileid_278.wav': '2.8290886878967285'}
{'realrec_fileid_279.wav': '2.977604627609253'}
{'realrec_fileid_28.wav': '3.70770525932312'}
{'realrec_fileid_280.wav': '3.461003303527832'}
{'realrec_fileid_281.wav': '3.2813477516174316'}
{'realrec_fileid_282.wav': '3.202085494995117'}
{'realrec_fileid_283.wav': '3.4132273197174072'}
{'realrec_fileid_284.wav': '3.7080934047698975'}
{'realrec_fileid_285.wav': '3.5475988388061523'}
{'realrec_fileid_286.wav': '3.907684803009033'}
{'realrec_fileid_287.wav': '3.406647205352783'}
{'realrec_fileid_288.wav': '3.0650100708007812'}
{'realrec_fileid_289.wav': '3.447225332260132'}
{'realrec_fileid_29.wav': '3.9341490268707275'}
{'realrec_fileid_290.wav': '3.578967571258545'}
{'realrec_fileid_291.wav': '3.6988961696624756'}
{'realrec_fileid_292.wav': '3.9455442428588867'}
{'realrec_fileid_293.wav': '3.5996932983398438'}
{'realrec_fileid_294.wav': '3.6015470027923584'}
{'realrec_fileid_295.wav': '3.570474624633789'}
{'realrec_fileid_296.wav': '3.255458354949951'}
{'realrec_fileid_297.wav': '3.449763298034668'}
{'realrec_fileid_298.wav': '3.8033814430236816'}
{'realrec_fileid_299.wav': '3.103318452835083'}
{'realrec_fileid_3.wav': '2.492464303970337'}
{'realrec_fileid_30.wav': '2.862921714782715'}
{'realrec_fileid_31.wav': '3.4677505493164062'}
{'realrec_fileid_32.wav': '3.581946849822998'}
{'realrec_fileid_33.wav': '3.3767447471618652'}
{'realrec_fileid_34.wav': '3.4963674545288086'}
{'realrec_fileid_35.wav': '3.7345542907714844'}
{'realrec_fileid_36.wav': '3.7997190952301025'}
{'realrec_fileid_37.wav': '3.5910727977752686'}
{'realrec_fileid_38.wav': '3.5081229209899902'}
{'realrec_fileid_39.wav': '3.820788860321045'}
{'realrec_fileid_4.wav': '2.551786422729492'}
{'realrec_fileid_40.wav': '3.6196413040161133'}
{'realrec_fileid_41.wav': '3.4069664478302'}
{'realrec_fileid_42.wav': '3.775397539138794'}
{'realrec_fileid_43.wav': '3.7997422218322754'}
{'realrec_fileid_44.wav': '3.7141032218933105'}
{'realrec_fileid_45.wav': '2.9802112579345703'}
{'realrec_fileid_46.wav': '3.1733522415161133'}
{'realrec_fileid_47.wav': '3.0937254428863525'}
{'realrec_fileid_48.wav': '3.7481274604797363'}
{'realrec_fileid_49.wav': '3.6398563385009766'}
{'realrec_fileid_5.wav': '2.9212517738342285'}
{'realrec_fileid_50.wav': '3.1207170486450195'}
{'realrec_fileid_51.wav': '3.827526569366455'}
{'realrec_fileid_52.wav': '3.4006168842315674'}
{'realrec_fileid_53.wav': '3.958831310272217'}
{'realrec_fileid_54.wav': '3.731588125228882'}
{'realrec_fileid_55.wav': '3.715968608856201'}
{'realrec_fileid_56.wav': '3.4004032611846924'}
{'realrec_fileid_57.wav': '3.105414390563965'}
{'realrec_fileid_58.wav': '3.778703212738037'}
{'realrec_fileid_59.wav': '3.2804625034332275'}
{'realrec_fileid_6.wav': '2.579676389694214'}
{'realrec_fileid_60.wav': '4.021778106689453'}
{'realrec_fileid_61.wav': '3.55495285987854'}
{'realrec_fileid_62.wav': '3.321153163909912'}
{'realrec_fileid_63.wav': '3.7212862968444824'}
{'realrec_fileid_64.wav': '3.727961778640747'}
{'realrec_fileid_65.wav': '3.6475114822387695'}
{'realrec_fileid_66.wav': '3.627039909362793'}
{'realrec_fileid_67.wav': '3.6536502838134766'}
{'realrec_fileid_68.wav': '2.4233927726745605'}
{'realrec_fileid_69.wav': '2.4917538166046143'}
{'realrec_fileid_7.wav': '3.064119577407837'}
{'realrec_fileid_70.wav': '2.536924123764038'}
{'realrec_fileid_71.wav': '2.3440914154052734'}
{'realrec_fileid_72.wav': '2.8486359119415283'}
